Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
Q6ZU65	Q6ZU65	UBN2_HUMAN	UBN2	Ubinuclein-2										17018.1	43223.3	46524.2	68827.5	23666.7	13101.8	15183.9	11698	10170																												47482.9	26779.8	13173.7	7040.13	13431.7	15379.8																	
Q6ZVK8	Q6ZVK8	NUD18_HUMAN	NUDT18	8-oxo-dGDP phosphatase NUDT18		97067.9	354703	364092	175481	376150	418030	723450	538923	373095	208795	105063	31683.6	16624.7	12720.9	13715.1	9316.37	7486.9	12532.5		8609.45	6161.2				6650.03										96612.5	558472		362492	573190	1.01763e+06	730481	518895	284647	152756	154712	29296.2	15155.6	9692.68	7900.17	4822.79												236293					
Q6ZVX7	Q6ZVX7	FBX50_HUMAN	NCCRP1	F-box only protein 50																																		74992.7																																		204634
Q6ZW49	Q6ZW49	PAXI1_HUMAN	PAXIP1	PAX-interacting protein 1		399434	239659					114813	76739							2233.64			54482.2			4365.58		13117.8			56471.9	190225	184262	757114																															67040.8	141161	140384					
Q6ZYL4	Q6ZYL4	TF2H5_HUMAN	GTF2H5	General transcription factor IIH subunit 5															7152.94	11432.2	59320.3	12995.9	8821.63		9165.55	12884	29371.5	67233.3	51926.5	77485.5	59764.2	30076.2																					4757.76	10507.7						6598.83			43920.2		53551.9	35320.7						
Q70E73	Q70E73	RAPH1_HUMAN	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1		369462	225483	681307				61111.7	48711.7	22533.9	51491.4	37834.1	37742.8	41446.4	46734.1	39971.7	33719	15172.4	39125.4	63587.9	33572.2	40807.1	41226.9	36717.8	50600	29289.8	19434.9	25370.1	99820.4	61367.9																40826.3		11376.5	27987.2	32634.5	32342.9			42735.1		30984.1	40941.3		32384.5	58166.4	24208.9				66589.5			
Q70IA6	Q70IA6	MOB2_HUMAN	MOB2	MOB kinase activator 2												15470.5	21973.9					3611.29																												16837.6	17632.1																					
Q70Z53	Q70Z53	F10C1_HUMAN	FRA10AC1	Protein FRA10AC1													11552.8		8785.6	7417.57		7482.97	76586.5	109182	123919	83433.3	44657	23854	29097.3	19427.3	23323.3	31119.7	57928.5	74015.7																5063.74		5715.69	4867.67	7150.11	8035.55		30224.1	105107		77716.5	40858.6		17268.4	33285.6	21323.5	49241.2	112317	50779.4		81768.7		
Q719H9	Q719H9	KCTD1_HUMAN	KCTD1	BTB/POZ domain-containing protein KCTD1													4649.55	8181.8	14522.4	19185	10091.3	8156.26	11298.1		7436.63	3266.15	7034.67					13671.5																				30207.9	18129.3	25313	19411.8		16735.3	7423.69								30499.2						
Q71F23	Q71F23	CENPU_HUMAN	CENPU	Centromere protein U																												59619.5	195591	72654																																40672.1	127523	184286				
Q71RC2	Q71RC2;Q92615	LARP4_HUMAN	LARP4	La-related protein 4		49591	36983.8	48956.3	58379.8	72888		38613.3	29562.4	19295.6	47345.3	30141.5	27674.1	15283	16497.1	24574.9	35325.3	40151.2	41754.9	65779.1	43644.3	48119.2	47779.9	37947.1	37226.2	26191.3	20177.8	31339.1	69587.8																24726.5	18886.6	25984.5	11032.2	11531.4	14493	16860.7	22500.1	26829.1	13482.8		19407.5	20276.7		9881.58	26468.9	19718.9	20159.6	85040.2					
Q71SY5	Q71SY5	MED25_HUMAN	MED25	Mediator of RNA polymerase II transcription subunit 25												6737.46	9361.36		4804.7			5370.81																												30557.7	5064.6			4798.16	9074.98																	
Q71U36	P0DPH7;P0DPH8;Q6PEY2;Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain																					6863.85			52425		10870.3	3358.99		17694.1	21688.9																													12234.8	23107.9	16367.2	37494.5	42203.9	124717	87735.1			
Q71UM5	Q71UM5	RS27L_HUMAN	RPS27L	40S ribosomal protein S27-like																		7448.89			5830.71	18702.3	33354.3	27604.9	43037.9	17640.4	17370.5	41707.8		35709.4		39740														8581.69				9658.41						29493.4	27422.1		34785	27811.2	23121.8							
Q75N03	Q75N03	HAKAI_HUMAN	CBLL1	E3 ubiquitin-protein ligase Hakai		276997	174285	254345	166592	130110	241094	167620	253605	209014	241224	144440	58707.5	58987.4	55875.1	84893.6	42891.5	47386.2	61349	46516.6	23884	25048.3	24113.8	17612.4	29850.7	28110.8	173590	335801	220771	139272		100132	93758.9			538055	378720	243292	388277	223748		138413	137067	161383	137688	155436	65773.9	76753.9	79499.3	78083	57116.4	50209	14349.1			30045.3	17295.6		43999.6	32973.5	113928	232070	288347	163858	117018	96850.5	45138.4	
Q7KZ85	Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6																							6111.74					55453.2	100504	173808	108794																															17073.7	115571	187885				
Q7KZF4	Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1												90501.5	41767	50613.9	20668.7	138411	1.95725e+06	915657	361674	118573	98233.7	63739.7	54984.2	38144.6	72665.2	53645	28009.1	33776.3	34599.8			55767	592593															35247.4	33973.8	113579	2.23245e+06	451833	420222	149707		92845.3	59800.4		119527	71651	53131.5	73071.2	33181.8					
Q7KZI7	Q7KZI7	MARK2_HUMAN	MARK2	Serine/threonine-protein kinase MARK2		210960	167341		48179.2	61213.8				12647.1		15561.4	10920.2	23315.7	18759	9250.64	4558.08	9551.81	10952.6	34161.4	18462.6	19399.3	13451.9	11146.9	14423.3	29061.6		15006.8	24630.4																					22498						27332.1				22963.8	32736.9							
Q7L0Y3	Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C										9608.34			11390.2									11956.5	5699.41	8906.94	28677.1	15180																																			19486.7							
Q7L1V2	Q7L1V2	MON1B_HUMAN	MON1B	Vacuolar fusion protein MON1 homolog B														19479.2	57753.6	45258.8	139820	179281	114303	44401.8	59878.2	48475.4	42554.9	39070.8	69285.7		51173.6																					36729.2	54694.8	34155.7	94183.2	100664	219882	118529		55176.3	79595.3			16994.9	48569.8							
Q7L273	Q7L273	KCTD9_HUMAN	KCTD9	BTB/POZ domain-containing protein KCTD9												62101.4	186401	223208	104283	94359.8	58399.1	56702	49887.7	46394.3	41760.1	36033.6	35753.2	32753.2	30259.5	34787.4		33654.6	15381.2																	123569	241667	195368	118151	74357	60953.8		23682.9			40520.1	30511.3		39779.9	33289.5	34374.7	57490.8		94188		75481.6	73104.4	
Q7L2E3	Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30		33770.3							255539										19929.8	60672.9	31412.2	59811.8	54454.8	72859.9	104654	138150	236491	497669	537108	354080	262487	125985		531147																						39932.1	45285.2		125014	169266	210026	350128	512753	308764	260681	142065		
Q7L2J0	Q7L2J0	MEPCE_HUMAN	MEPCE	7SK snRNA methylphosphate capping enzyme		119514	64537.1	179189			59785.6		51264.9	38674.6	29884.4	44663.4	31660.6	31833.3	29368.4	27020	20943.4	31825.5	34616.6	58068.3	39709.6	42543.4	56859.4	66998.7	72791.5	59463.3	67975	109074	163437	179351	156765	60265.6				542733						129416		48376.3	65333.7	48325.3	38231.8	38783.3	50867.7	51264.6	43162.2	56911.9		27157.6		41371.8	49786.8		72281.8	101044	80773.2	141679	228857	180519	178023	119467	192632	
Q7L2Z9	Q7L2Z9	CENPQ_HUMAN	CENPQ	Centromere protein Q																												42051.4																																		31207.4	37075.8					
Q7L4I2	Q7L4I2	RSRC2_HUMAN	RSRC2	Arginine/serine-rich coiled-coil protein 2		84695.8	122744	165385	147154	228854	185979	171795	90756.8	94011.7	111263	88297	44099.6	44304.7	21536.1	17040.3	15002.9	11835.9	16296.5	23090.4	13193.4	9648.51	2715.37		8495.49																			50352.4	17636.9	65829.5	45278.5	60083.5	28315.3	24158.3	10608.7									19812.8	10337.3							
Q7L523	Q5VZM2;Q7L523	RRAGA_HUMAN	RRAGA	Ras-related GTP-binding protein A															26505.6	10681.9		39790	45479.7	135907	241083	242938	179390	131341	130431	113785	133541	103616	115853	53801.3																								191192		359058	266977	1.4712e+06	159571	107896	74946.4	47355.8	111541	44048.2			45932.1	
Q7L576	Q7L576	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1			374504	595316		383313	399742	702969	223477							536990	36810.5	90476.7	168428	239772	383824	529025	905568	1.21175e+06	2.01339e+06	3.07644e+06	1.52462e+06	946011	497891	561427	447239	296259	315675	1.11947e+06	635261																24696.4	36380.6	156168	157955		467449	845839	2.53781e+06	1.55783e+06	1.87977e+06	1.95223e+06	702160	666080	454413	491502	141714	595822	487371
Q7L592	Q7L592	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial											25540.1	55089	27677.5																																	57622.7	51440																					
Q7L5D6	Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog																6953.08	19833.7	27179.3	25145.2		25395.9	27195.6	32878.3	25264.5	25092.9	33301.9																														14588.3			23092.6									
Q7L5N1	Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6																					2421.63	3574.79	4533.08	5617.27	10001.8	24863.3	19697.6	20131.5																																	35917.7	26477						
Q7L7X3	Q7L7X3	TAOK1_HUMAN	TAOK1	Serine/threonine-protein kinase TAO1										113303					32964.6			34792.1	50224	38601.5	46950.9	110919	251447	349841	445953	452184	449973	530885	478701	401980	454550	270562																215500						71109.6		98599.8	193884	744954	413492	385209	479423	463919	392694	389045	503991	156335	123971	
Q7L9L4;Q9H8S9	Q7L9L4;Q9H8S9	MOB1A_HUMAN;MOB1B_HUMAN	MOB1A;MOB1B	MOB kinase activator 1B												17179.4	15511.1		3707.31																															12254.2	13367	5796.98																				
Q7RTP6	Q7RTP6	MICA3_HUMAN	MICAL3	[F-actin]-monooxygenase MICAL3																							21088.3		30523.2	15340.2			28390.1																														38562.8				61343.3	63874.3				
Q7RTR2	Q7RTR2	NLRC3_HUMAN	NLRC3	NLR family CARD domain-containing protein 3		41863.1	225757	21106.1	50587	110995	92728.5	32406.4				87397.5	226589	679677	1.62647e+06	1.73781e+06	3.31668e+06	5.71371e+06	5.04335e+06	9.84599e+06	6.32909e+06	4.91906e+06	4.23691e+06	2.80797e+06	2.1937e+06	1.9523e+06	1.60708e+06	1.5422e+06	1.79286e+06	1.33591e+06	1.44353e+06	665971	1.32823e+06	2.25775e+06	551956		241256	242425		328682					91042.4	125777	251559		1.03136e+06	1.69925e+06	2.5914e+06	5.51319e+06	1.05439e+07	7.65154e+06		6.17305e+06	3.70736e+06		2.46401e+06	2.88979e+06	1.83568e+06	1.72303e+06	1.8755e+06	1.02945e+06			939415	1.31135e+06
Q7RTV0	Q7RTV0	PHF5A_HUMAN	PHF5A	PHD finger-like domain-containing protein 5A				46844.3	156551	343624	221367	128005	82425.4	50698.9	49104.6	93749.9	54024.7	70250.9	34256.9	42309.1	21729.9	22721.2	19024.4	21802.8	12756.2	12570.7	16475.8	15344.5	42935.5	65810.4	79166.8	85190	91390.7	61702											114582	257299	142704	89517.5	93985.2	130789	92040.5	94074.4	80301.9	85055.3	59584.9	72849.3		16897.8		28116.3	23002.8		34889.4	103682	191096	130620	118708	105132	83796.1			
Q7Z2T5	Q7Z2T5	TRM1L_HUMAN	TRMT1L	TRMT1-like protein																2607.39			5520.03	7299.89	5411.47	7410.13	8808.3	10432.5	10902.2		7147.73	15364	11787.2																					6657.66										12881.4	4549.11							
Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1		423947			953874		1.16107e+06	321097	232733	87122.4	153258	226451	149985	127568	95940.6	72481.8	65324.9	45113	102239	58303.4	43548.9	46347.9	44424.1	95372.4	53810.2	43462.1		21065.4																		141519	126663	93563.2	77267.3	53916.6	117486		60652.5															
Q7Z2Z2	Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1																24035.7	35517.1	24728.5	5774.19			9599.69	5709.31																											12263.2	34549.5																	
Q7Z3B3	Q7Z3B3	KANL1_HUMAN	KANSL1	KAT8 regulatory NSL complex subunit 1												2665.23	7670.28	8876.25	16828.3	26651.2	18221.2	26878.4																															12524.8	19078	16837.2																	
Q7Z3C6	Q7Z3C6	ATG9A_HUMAN	ATG9A	Autophagy-related protein 9A			189455						20751.8	100854	73816.9	81862.1	63667.6	78132.8	61950.7	61629	41579.1	24963.8								51094.1																			43384.3	47295.5	72071	84223.2	53252.7	38616.3	25814.3						10906.1			18214.4								
Q7Z3E2	Q7Z3E2	CC186_HUMAN	CCDC186	Coiled-coil domain-containing protein 186																	9351.86	16634.8	12174.7	15025.5	8062.37	6537.7	7347.81	9620.23	8279.56	8699.08																									7714.22					18082.8	5707.78		8559.4	16833.6		13573.4						
Q7Z3K3	Q7Z3K3	POGZ_HUMAN	POGZ	Pogo transposable element with ZNF domain																					2456.58		3944.05		8600.64	10442.3	13437.3	40991.8	68465.7	38981.2																															16085.1	14064.2	32204.4					
Q7Z3T8	Q7Z3T8	ZFY16_HUMAN	ZFYVE16	Zinc finger FYVE domain-containing protein 16		60488.4								6522.87	6420.87	7644.83	7576.02	10103		12082.6	10411.9	12216.8	23917.9	59272	41126.1	39886.4	50857.7	47156	46550.8	29879.3	43213.3	35262.2																					11028							31656.5	21130.7		33153.1	27214	26893	31145.9						
Q7Z406	Q7Z406	MYH14_HUMAN	MYH14	Myosin-14												9165.12																																																	16221.8	15910.1						
Q7Z417	Q7Z417	NUFP2_HUMAN	NUFIP2	FMR1-interacting protein NUFIP2		187435	290044	212348	284107	325960	342070	155148	104156	118829	138062	160252	176676	245263	270307	306157	280908	253138	226509	296760	131923	103601	116731	118573	116609	108170	122514	175206	258898	396398	419490	563989	268812	103037				151615						82951.2	66710.3	80586.3	100866	134160	183469	294932	240424	209412	106817	99335.3		90169.2	74283		112392	143267	106297	153124	188511	337989	322674	396568	366083	327784
Q7Z434	Q7Z434	MAVS_HUMAN	MAVS	Mitochondrial antiviral-signaling protein										11681.4														4471.31	25880.5	21683.5																																										
Q7Z460	O75122;Q7Z460	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1															7135.69	10325.8					5668.46	7632.07	4064.71		6877.48																									16749.5																		
Q7Z478	Q7Z478	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29																		8706.11	19465.6	55304.6	11210.4	12540.9	12963.2	48694.3	150161	19766		48462.8	78632.9				133868																					10263.3		25046.3	10998.4		96864.8	19124.1	100277	36887.9						
Q7Z4G4	Q7Z4G4	TRM11_HUMAN	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog			186464												22455.5	89910.6	192702	81567	89065.1	33997.9	29686.2	26872.6	23136.9	23020.9	26577.2	18628.8		33479.2																					23367.9	72389.8	207542		51473.3	40138.7		37588.9	29059.8		26216.4									
Q7Z4H3	Q7Z4H3	HDDC2_HUMAN	HDDC2	5'-deoxynucleotidase HDDC2									74248.1	110679	45830	26849.1	14627.7																															83265.7		22530		4484.82																				
Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2												16266.5							11243.6					20084.7		21175.4	57123.3	87873.5	190712	154377	173526																												40663.3	117443	61982	44599.5	199077	145283	68088.6			
Q7Z4W1	Q7Z4W1	DCXR_HUMAN	DCXR	L-xylulose reductase									31301.7	48662.3	75578.5	41302.8	36605.2	29928.5	18265.2	18573.2	9502.35	12480.3	15342.8		10080.9	11704.7	11303.8	9321.78	10899.7	18891.5																	54722	40331.5	98271.7	79567.1	54768.8	61763.6	33110.1	21258.4	24903.7					21126.4			24627.5								81701	
Q7Z569	Q7Z569	BRAP_HUMAN	BRAP	BRCA1-associated protein																						7247.26	12888.6																																													
Q7Z589	Q7Z589	EMSY_HUMAN	EMSY	BRCA2-interacting transcriptional repressor EMSY											21449.2	32283.7	34334.9	28510.9	26806.3	24670.5	16930.2		37316.8	122555	14069.5	13293.9	27969.5	63931.6	64522.1	34662.5	45879.5	68219												288153						12406.2	29129.8	17811.1	8571.33	10711.8	37202.6		72045.1			17996.9			47383.2	31517.3	68702.5	16353.6	17360					
Q7Z5J4	Q7Z5J4	RAI1_HUMAN	RAI1	Retinoic acid-induced protein 1		98090.5	47345.1						37850.5	25126.9	73302.5	69941.5	53391.3	32693.6	17170	8360	9315.2	7838.99	16703.5	9343.07	5808.66	3722.85		6129.73				49326.8	30459.7															49600.7		50609.7	40084.7	33208.1	9300.17	18714.4	12391.1										16152.7	30437.6						
Q7Z5K2	Q7Z5K2	WAPL_HUMAN	WAPL	Wings apart-like protein homolog										15402.9	11677.7				7569.28	11786.8	16503.5	18736.5	21648.7	16718.7	17849.7	20475.1	27552.1	29959.1	27104.4	32500.4	23298.2	30120.7	67071.7																					4635.59	8696.28					19379.9	24186.5		31617.9	43596	32741.5	27566.9	71893.1					
Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2		294458	348817	284739	381365	400737	471404	479170	332175	280285	478590	596663	507567	402565	177449	139598	90269.4	74879.1	64766.5	69355	45186	42990.3	49634.9	48008.2	62906.5	58190.2	61368.4	40430.4	73224.3	945117			125866			168425	199372	244087	241355		222221	275669	87104.1	167627	527736	845626	528047	318854	185696	163265	99336.2	177955	151844	15090		54909.8	77695.8		64287.6	89618.6	49992.5	29004.1					281913	245371
Q7Z5U6	Q7Z5U6	WDR53_HUMAN	WDR53	WD repeat-containing protein 53																						5330.08	10514.5	20590.6	29869.5	23502.8																														7192.28	19494.8		17480.1	36495.1	27472.2							
Q7Z5W3	Q7Z5W3	BN3D2_HUMAN	BCDIN3D	RNA 5'-monophosphate methyltransferase																		14606.5	15616.8		25525.1	20332.4	23684	16878.6		12830.7																												45656.9		41444.2	27821.2											
Q7Z624	Q7Z624	CMKMT_HUMAN	CAMKMT	Calmodulin-lysine N-methyltransferase									41343.4	21715.9												2662.83			37086.5	67783.4																87291.3														43192.9	58148.2		20179									
Q7Z6B7	Q7Z6B7;P0DMP2	SRGP1_HUMAN	SRGAP1	SLIT-ROBO Rho GTPase-activating protein 1		94090.2	101463							38842.3	23522.3	13606.4	25085.7		14384.9	9439.05		5560.39		19720.3		16917.9	13453	20615	38769.3	48591.7	49660.5	85495.1	101548																			7922.37								9172.66	21411.4	97591.1	32333.6	42241.9	65895.6	83283.5	90580.2		74417.7			
Q7Z6E9	Q7Z6E9	RBBP6_HUMAN	RBBP6	E3 ubiquitin-protein ligase RBBP6		55541.6	63642.6	66465.3				103513	149069	47643.6	44549.4	42260.5	34730.1	29577.4	27282.5	35297.1	21553.3	29397.8	34638.5	46044.4	35606.9	31831	42188.9	58496.6	70388.8	46183	60183.6	72149	90533.8	72382.6	76485.7																48007.3			35281.3	7838.83					24657.9	15379.7		16333.3	39360.4	24232	48634.7	32333	53372.5				
Q7Z6I8	Q7Z6I8	CE024_HUMAN	C5orf24	UPF0461 protein C5orf24																								9700.33		5364.61		25965																																	6561.31	15561.4						
Q7Z6J9	Q7Z6J9	SEN54_HUMAN	TSEN54	tRNA-splicing endonuclease subunit Sen54												24519.9	34746.8	46479.4	66469.9	65780.1	74758.5	77492.8	133574	171810	85175.9	53084.8	40472.1	31612.8	26868.1	32850.1	29214.4	47500.3	70888																	20045.3	40083.8	34739.1	44330.3	65884.5	49864.9	58687.9	51576.5	93710.9		77742.9	21532.7		34872.5	42465.8	27356.8	45464.4		88011.8	123214	88384.4		
Q7Z6L1	Q7Z6L1	TCPR1_HUMAN	TECPR1	Tectonin beta-propeller repeat-containing protein 1																3358.83	6612.61	5307.14	4902.71	6847.61	4009.64		3964.43																																													
Q7Z6M1	Q7Z6M1	RABEK_HUMAN	RABEPK	Rab9 effector protein with kelch motifs										15534.4	185078	204177	71913.2	30285.2	16965.7	8576.2	7859.74	12298.2	10424		118284	8667.09																						54490.1	71655.3	266572	80608.2	48221.1	22655.9	15274.2						144826												
Q7Z6R9	Q7Z6R9	AP2D_HUMAN	TFAP2D	Transcription factor AP-2-delta														5636.56												118929	321349	1.17817e+06		1.62801e+06																																	1.34841e+06		1.07567e+06		131691	
Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1			835141	290983	375604	714200	317144					120725	31333.7	65402.2	42000.9	42289.7	43118.4	30238.1	32822.8	49846	25224.9	21283.6	28962.4	23787.8	27940.1	45264.3	157078	402919	360487	247507	281373		157476													20660.4	23955.8	16848.2	58698.8	39323.7	50719.1					23874			52779.6	41466.3	148295	365716	374388	194978	350907	36766.9	234129	
Q7Z7A4	Q7Z7A4	PXK_HUMAN	PXK	PX domain-containing protein kinase-like protein																					6531.44	14566.2	21734.6	50537.2	46326.7	38879.3	82670.8																														33945.4		49057.7	42930.9								
Q7Z7F7	Q7Z7F7	RM55_HUMAN	MRPL55	39S ribosomal protein L55, mitochondrial																	3430.59		15787.5	13908.4	12135	6430.8	19103.7	38984.8	93776.5	60318.8	74224.8	569465	1.5538e+06	560083	276659																									9290.87	25257.1		54477.8	56115.8	49772.5	339027	2.32119e+06	396452	360364	50876.2		
Q7Z7H8	Q7Z7H8	RM10_HUMAN	MRPL10	39S ribosomal protein L10, mitochondrial																								8132.98	12236.7																																			7489.38								
Q7Z7K0	Q7Z7K0	COXM1_HUMAN	CMC1	COX assembly mitochondrial protein homolog																	6402.37	11480.1	15877.5	5757.53																													3796.57	11803.3	5267.92																	
Q86SF2	Q86SF2	GALT7_HUMAN	GALNT7	N-acetylgalactosaminyltransferase 7		228423	129153	47999.2		56349.5		34148.3			13485.3																									143286																																
Q86SJ2	Q86SJ2	AMGO2_HUMAN	AMIGO2	Amphoterin-induced protein 2												12324	11276.4	46342.3	7190.16	15993.5	6088.82	4162.84	3098.24																											17457.2		17944.3	6749.17	7125.56																		
Q86SX3	Q86SX3	TEDC1_HUMAN	TEDC1	Tubulin epsilon and delta complex protein 1																							15105.6		66909.8	32702.2	28320		28489.6																											9728.69			17055.9	43798.9		28737.9	44373.2					
Q86SX6	Q86SX6	GLRX5_HUMAN	GLRX5	Glutaredoxin-related protein 5, mitochondrial										11736.4	73812.7	54688.6	21795.3	21559.8	19240.5			3473.97			6978.52	4006.82																								80288.5	24859.7	19955.4	25550.3	14580	11917.4					9440.87												
Q86SZ2	Q86SZ2	TPC6B_HUMAN	TRAPPC6B	Trafficking protein particle complex subunit 6B										101061	287256	154735	91309.1	74317.7	18241.7	13391.2	19620.4	23277.3	30985.3		32666.5	27299.8	33045.8	31096.6	40637.8	48826.2	73065.3	22660.5																105419	479307	172717	74632.2	23778.5	10571.6				19187.5	20693.9		27006.7	17465		37245.9	15123.6	32836.7							
